code_of_country,Territories,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
004,Afghanistan,10947.6,11067.2,61498.94,89354.72,127687.03859,170435.1208,161719.3855,331425.35,520323.75735,703768.29377,655561.4994,797732.3993,747716.5525,669327.71932,601029.11856,444466.88843,517261.2956,615606.5701,602503.0731,616959.93899,776737.51877875,667484.2946857
008,Albania,NA,NA,3.4,1.5,0.6,0.5,177.14,0.106,0.52,0.0101,2.33,0.2099,0.121,1.14,1.1487,0.6222,1.2215,2.1519,16.2522,5.48183,585.7710198,2643.2675143
010,Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
012,Algeria,1.3,0.3,41.9,34.45,18.40348,19.1,60.45,712.595,12.2864,19.73,18.7604,228.7812,6.1037,6.462,852.8736,614.269,682.8647,447.899,254.6225,294.59867,0.122206099,556.27613469999994
016,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2832,0.0013,NA,6.238,1.05,1.962,1.506,2.6708,67.5786,50.39336,1.6321,26.5191398
020,Andorra,NA,NA,7.3,0.2,1,0.1,0,0.86,NA,0.23,NA,2.434,0.6266,NA,0.325,2.4,0.078,0.33,8.8546,1.31148,NA,0.639
024,Angola,1350,32.3,18,NA,30,0.96,NA,1437.9,42.19,0.2754,5.3313,9.9383,24.5893,189.981,5.529,5.996,0.87,4.278,4.3107,0.41204,1.8095405,6.6609744
028,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05866,NA,NA
031,Azerbaijan,3563.7,3766.1,5210.32,5650.57,147060.18246,129057.27,50149.22168,53388.62,60491.3171,37787.87413,38391.1265,34075.5343,16105.261,28217.70701,48498.14145,25497.78314,16320.6751,27574.3757,35610.2494,52166.32044,54227.658227289,75996.97156372
032,Argentina,2.2,7.6,1379.4,3631.97,47.42239,5.4,4.3178,4.673,48.5986,32.0865,95.738,277.4679,552.2014,1990.2754,3773.9924,2946.9314,1637.4216,44.33,240.757,486.01394,155.274952,221.90754293308
036,Australia,166.1,5799.7,137.36,205.16,310.3,491.9,423.2573,493.598,596.23861,574.06105,601.3337,597.7041,545.4807,1569.6941,1789.2148,1809.1489,959.8966,878.5192,1242.4126,2270.77196,144.3498164,202.8300776
